SHARE_CODE,YEAR,Y_distress,equity_negative,equity_negative_2yr,X1_gross_profit,X2_net_profit_margin,X3_current_ratio,X4_quick_ratio,X5_cash_ratio,X6_receivable_turnover,X7_inventory_turnover,X8_leverage_asset,IEQ_equity_to_liability,X10_dscr,X11_asset_coverage,X12_mbv,X1_gross_profit_t,X2_net_profit_margin_t,X3_current_ratio_t,X4_quick_ratio_t,X5_cash_ratio_t,X6_receivable_turnover_t,X7_inventory_turnover_t,X8_leverage_asset_t,IEQ_equity_to_liability_t,X10_dscr_t,X11_asset_coverage_t,X12_mbv_t,X1_gross_profit_z,X2_net_profit_margin_z,X3_current_ratio_z,X4_quick_ratio_z,X5_cash_ratio_z,X6_receivable_turnover_z,X7_inventory_turnover_z,X8_leverage_asset_z,IEQ_equity_to_liability_z,X10_dscr_z,X11_asset_coverage_z,X12_mbv_z,X15_corruption_index,X13_indep_commissioner,X14_board_diversity,ever_distressed
AALI,2013,0,0,,32.2,15.01,0.45,0.24,0.18862463806089755,616.6682397586844,15.784989127971128,31.37921125107681,2.1868232505865937,0.6399007865473169,11.969161362553494,3.849497689829983,1.1585716852598027,1.2798612195292007,0.4154457857217453,0.28959502835662654,0.3706868298804033,5.417749291756869,1.5757785753534923,1.0575248145016694,0.4672876786965689,2.0174556077231967,1.33424783162665,1.8068301543788525,0.3761434955471911,0.6849614701277271,-1.2250731396443444,-1.1777690243660015,-0.5282484179499003,5.225502531464498,0.5625458826590591,0.27626092736044755,-0.36779134292936305,1.356411422646049,0.5169223100159587,0.8900659284613635,32,0.5,0.0,0
AALI,2014,0,0,0.0,30.37,16.08,0.58,0.27,0.14867129413968286,343.6351394069672,12.757668294056897,36.23820096324473,1.759518887304225,0.5534633762223489,5.526001282786301,3.2269970122812848,1.1110268695838614,1.3393621726644858,0.5263564788556528,0.3246351192419994,0.29462637259402247,4.833042275995944,1.3839727771750396,1.1734931478307773,0.38056044361401137,1.878140425889668,0.7449197622867814,1.641364492889272,0.308584177917131,0.7266218855192921,-1.060891200382984,-1.1263695101401812,-0.6201046635192595,4.505477928710746,0.37093085493653394,0.4603473631071989,-0.4243857647837463,1.2182355761147,-0.14818356125778584,0.716778063608219,34,0.0,0.2222222222222222,0
AALI,2015,0,0,0.0,23.6,5.33,0.8,0.32,0.08359735421689073,148.35634926044577,7.720151929414895,45.618328170335104,1.1921013770300433,0.18883549577809697,2.859473593611394,2.133529591572186,0.917854705223957,0.5594702180025336,0.7011279877525848,0.3821750362491336,0.16729316677617087,3.9933555762524042,0.9714715176399332,1.3699047822744588,0.26112668077883067,0.9434916428103601,0.4104907300084253,1.2712745230850233,0.03409411157156197,0.18056974551602611,-0.8021756117635135,-1.0419655115194097,-0.7738816803822998,3.4714641985459993,-0.04116012996610814,0.7721283181832851,-0.5023230442452241,0.2912304564156955,-0.5256146127634189,0.3291925060151627,36,0.6,0.0,0
AALI,2016,0,0,0.0,26.03,14.97,1.1,0.5,0.13481801901968746,24.383940627773576,5.907582933431951,27.162110122031336,2.681599093396262,0.40022315843857736,7.59791610413479,1.8124957636345387,0.9905145885802473,1.2775766468970573,0.9128381468808279,0.5789095928869178,0.2678411005402932,2.1996843464327034,0.7833485843244973,0.9475363689319568,0.5637552728326531,1.574189252026568,0.9648033597314668,1.13525753001129,0.1373409549727181,0.6833618949977137,-0.4887794593741311,-0.7533800544869506,-0.6524525432873977,1.2626871873089276,-0.22909595581086367,0.10166687795910231,-0.304840786364082,0.9167701493034531,0.09997341490842501,0.1867454623125246,37,0.5,0.0,0
AALI,2017,0,0,0.0,23.95,11.96,1.94,0.96,0.1135749845090774,24.555817745041143,7.681782226913622,25.506495742031653,2.9205699211441254,0.4761723342050702,5.5665638044617545,1.3525548530507212,0.9285632908415706,1.0917457976976768,1.3711347275605588,0.9996359129079907,0.22640616620467927,2.2065390646832355,0.9677419910513638,0.9017541516658667,0.6087394886335751,1.735646698252768,0.7495528282221917,0.9102363889460022,0.04931059157729149,0.5532498554038061,0.1896404408784363,-0.13622616233973137,-0.7024924410118087,1.2711282794324847,-0.044885947159578686,0.028992856050204917,-0.2754860434923356,1.0769071782867927,-0.14295475999079119,-0.048913300544911976,37,0.3333333333333333,0.0,0
AALI,2018,0,0,0.0,18.55,7.97,1.46,0.64,0.015953688083652686,28.766283958042234,7.504113731180132,27.48800711562106,2.637950164207115,0.3150590353195994,5.522737211486989,1.168677697852096,0.753691219895828,0.7946113864807254,1.1304026488511902,0.7194115797646984,0.03206979664093081,2.361530099940484,0.9503361454360938,0.9563701068841391,0.5554239258659223,1.3593004526271997,0.7445463475577823,0.8086333911512041,-0.19917576004039086,0.34520708724375354,-0.1667170789253898,-0.5472808780634344,-0.9371874444679841,1.461988583111692,-0.062274480883678776,0.11568942434961671,-0.31027746106495957,0.7036387347919085,-0.14860499091912133,-0.15531946598152738,38,0.3333333333333333,0.5,0
AALI,2019,0,0,0.0,12.29,1.4,2.85,1.48,0.24468634415499452,23.01730841259542,8.07704244248497,29.64172997795962,2.373622257349889,0.12010460257063982,3.952095652833983,1.4781090467916713,0.5237119140863612,0.15412889508364072,1.7216535322500328,1.355723238396805,0.4739984088202487,2.143486720214476,1.005667951309929,1.0133224681207276,0.504225479051748,0.6470581313192533,0.5545467722937795,0.975599949604833,-0.5259673302385417,-0.1032355886569057,0.708516082851122,0.3861102554501238,-0.4034816981085262,1.1934838557210132,-0.006997708141970468,0.2060947693816255,-0.34368734083954644,-0.0027787883160685584,-0.36303535597734465,0.01954024905444719,40,0.6666666666666666,0.25,0
AALI,2020,0,0,0.0,15.75,4.75,3.31,1.96,0.5461024956122881,13.53040250823031,7.759523001051682,30.716554640793277,2.2555734576818227,0.2158751508917216,3.8553613736737553,1.2324416867839505,0.6545136310488217,0.5034690517673336,1.8631772132424178,1.6087539358849292,0.948969201316334,1.6369327145705603,0.975287573056948,1.0408450607744395,0.4809538403600475,1.045022820022322,0.542174212219491,0.8446831402343029,-0.34010322250795383,0.14135975433376746,0.9180146599511897,0.7572752440814505,0.1701282341789264,0.5696990594800642,-0.03734787000594951,0.24978373031334095,-0.358873400168051,0.3919313001855516,-0.3769988217890344,-0.11756550548685904,37,0.4,0.3333333333333333,0
AALI,2021,0,0,0.0,19.86,8.5,1.58,1.02,0.6536515359046614,41.631873088253165,7.337036334276429,30.357768211520124,2.2940497899332444,0.37162826143090283,7.477659127562427,0.8636526263093689,0.7980585978871314,0.8379343933947755,1.1953177895062266,1.0463770425733603,1.0870690294160448,2.726556625177684,0.9337607661144987,1.0317227463381653,0.48856601502259506,1.5065758201088806,0.9529371612244228,0.6236476441155212,-0.13613145669178892,0.37554028980518706,-0.07062270444248876,-0.06766265983554799,0.3369078220960862,1.9114924743664572,-0.07883337429765078,0.2353031018337614,-0.3539060260361377,0.849709667673534,0.0865814203516832,-0.34905020650798985,38,0.3333333333333333,0.0,0
AALI,2022,0,0,0.0,17.51,8.21,3.6,1.95,0.7889255355371008,24.296373674075888,6.429239050590745,23.953084069589263,3.1748277470022988,0.33690735198759825,5.490695068622582,0.694396907369216,0.7175501991983171,0.8143859023696701,1.9435073801828018,1.6040346155461882,1.241622467112436,2.1961743348413836,0.8400699915799751,0.8573863891311173,0.6554235566131916,1.4184940677847013,0.7408759970822546,0.511915777348031,-0.2505307324399001,0.35905248807670254,1.0369280146223903,0.7503525801625456,0.5235580084494939,1.2583648606845204,-0.17243096378801043,-0.04143588111118558,-0.24502205101520783,0.762348257874699,-0.15274728750723443,-0.46606407182537846,34,0.5,0.5,0
AALI,2023,0,0,0.0,13.36,5.25,1.83,1.06,0.538235988852543,23.607182929021892,6.865838063245685,21.77142097846156,3.5931774549272584,0.19923053859273146,10.409967741074587,0.5991727352784538,0.5651267011175359,0.5518369791828599,1.3201779976418362,1.0766192152475107,0.9382774351142993,2.1681214216577835,0.8859079682248753,0.792683693319328,0.7295819395012513,0.9834533001584709,1.214962163896057,0.44629846777777765,-0.467118542797848,0.1752252277687626,0.11420880755186079,-0.023301102964313074,0.1572160648748887,1.223819717344961,-0.12663857769243872,-0.14414399386293567,-0.1966295154845807,0.33086530281362064,0.38229848655664883,-0.5347833660310406,34,0.0,0.16666666666666666,0
ABBA,2013,0,0,,44.82,10.05,0.93,0.88,0.05964040933899524,2.37,13.84,13.65,57.81172997394272,0.01819419289320568,3.218866817047258,3.2992853561498876,1.442928401407646,0.9575997661302083,0.7965521674371031,0.9346183140173173,0.11962305522866686,0.42056108792468233,1.456408080482927,0.5260889602712946,3.2447309674558125,0.10481293675025134,0.45889377034147005,1.661947221839981,0.7802032323103344,0.459325655811168,-0.6609184756809419,-0.23159900283955084,-0.8314516402385671,-0.9281750444194132,0.4432941139372703,-0.5673325729071339,1.4446473565291809,-0.5405894404003337,-0.47098774533952575,0.7383338179599698,32,0.3333333333333333,0.3333333333333333,0
