NO,YEAR,Y_distress,X1_gross_profit,X2_net_profit_margin,X3_current_ratio,X4_quick_ratio,X5_cash_ratio,X6_receivable_turnover,X7_inventory_turnover,X8_leverage_asset,X9_leverage_equity,X10_dscr,X11_asset_coverage,X12_mbv,X13_indep_commissioner,X14_board_diversity,X15_corruption_index,SHARE_CODE,IEQ_equity_to_liability,equity_negative,equity_negative_2yr,X1_gross_profit_frac,X2_net_profit_margin_frac,X8_leverage_asset_frac,X9_leverage_equity_frac,flag_extreme_X1_gross_profit,flag_extreme_X2_net_profit_margin,flag_extreme_X3_current_ratio,flag_extreme_X4_quick_ratio,flag_extreme_X5_cash_ratio,flag_extreme_X6_receivable_turnover,flag_extreme_X7_inventory_turnover,flag_extreme_X8_leverage_asset,flag_extreme_IEQ_equity_to_liability,flag_extreme_X10_dscr,flag_extreme_X11_asset_coverage,flag_extreme_X12_mbv,n_extreme_flags
1,2023,0,13.36,5.25,1.83,1.06,0.538235988852543,23.607182929021892,6.865838063245685,21.77142097846156,27.830520828541832,0.19923053859273146,10.409967741074587,0.5991727352784538,0.0,0.16666666666666666,34,AALI,3.5931774549272584,0,0.0,0.1336,0.0525,0.2177142097846156,0.2783052082854183,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2013,0,44.82,10.05,0.93,0.88,0.05964040933899524,2.37,13.84,13.65,1.7297527689462442,0.01819419289320568,3.218866817047258,3.2992853561498876,0.3333333333333333,0.3333333333333333,32,ABBA,57.81172997394272,0,,0.4482,0.1005,0.1365,0.017297527689462442,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2014,0,40.75,2.43,1.37,1.31,0.15149945616707822,2.47,20.28,8.96,1.5202463949226968,-0.02800370841732405,2.431179383206151,1.9036645788424544,0.3333333333333333,0.0,34,ABBA,65.77881081249656,0,0.0,0.4075,0.024300000000000002,0.08960000000000001,0.015202463949226967,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2015,0,42.29,-15.62,1.34,1.27,0.17506095857543508,2.36,20.22,18.99,2.038723872823131,-0.05961076254349859,1.9046561465124399,2.065140322142884,0.4,0.16666666666666666,36,ABBA,49.050291377382365,0,0.0,0.4229,-0.1562,0.18989999999999999,0.02038723872823131,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2016,0,37.98,-14.59,1.34,1.3,0.35037927500232835,2.7,25.5,15.97,1.8553351879559032,-0.07454982960695763,1.9001086282942543,1.656834506704459,0.0,0.0,37,ABBA,53.89861662149252,0,0.0,0.37979999999999997,-0.1459,0.1597,0.018553351879559032,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2017,0,49.94,-13.17,1.21,1.17,0.39870609452247924,3.02,25.01,16.4,2.6057187046631554,-0.02891219172500614,1.634969383339474,2.3125253978917093,0.5,0.0,37,ABBA,38.37712789989245,0,0.0,0.49939999999999996,-0.1317,0.16399999999999998,0.026057187046631555,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2018,0,44.15,-17.0,0.7,0.66,0.2154085323279502,2.79,20.61,15.11,1.591876052868456,-0.11828281274621823,2.535316024470147,2.6367199821596294,0.4,0.0,38,ABBA,62.81896119977845,0,0.0,0.4415,-0.17,0.15109999999999998,0.01591876052868456,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2019,0,40.83,-17.64,0.8,0.74,0.1981897954820668,3.93,21.54,17.85,3.4854067604588033,-0.08833245259155696,1.4536904022685289,6.324837515955771,0.4444444444444444,0.125,40,ABBA,28.691055843030625,0,0.0,0.4083,-0.1764,0.17850000000000002,0.034854067604588035,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2020,0,48.26,-36.78,0.4,0.36,0.206469989291132,4.26,14.13,47.61,-3.1372327450973816,-0.12060864339709675,0.4706675872305306,-4.343043561422988,0.4,0.0,37,ABBA,-31.87522511878408,1,0.0,0.4826,-0.3678,0.47609999999999997,-0.03137232745097382,0,0,0,0,0,0,0,0,0,0,0,1,1
27,2021,0,45.81,-21.27,0.36,0.33,0.1283594898032357,8.94,19.31,19.84,2.1820918523136204,-0.07794167402316204,1.7707704928975703,11.793919120724997,0.3333333333333333,0.0,38,ABBA,45.827585073457094,0,0.0,0.4581,-0.2127,0.1984,0.021820918523136203,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2022,0,42.22,-18.19,1.08,1.05,0.43107395476542776,5.23,21.7,27.19,12.219117925411576,-0.0895714907831882,1.1575189645127482,20.20235604677396,0.5,0.0,34,ABBA,8.183896792749197,0,0.0,0.42219999999999996,-0.1819,0.27190000000000003,0.12219117925411575,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2023,0,29.49,-26.1,0.55,0.53,0.13763300223072755,4.09,32.21,37.98,-3.562918183422035,-0.12917552007339803,0.28699448100455216,-1.9346098317557907,0.42857142857142855,0.0,34,ABBA,-28.066880812838132,1,0.0,0.2949,-0.261,0.37979999999999997,-0.03562918183422035,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2013,0,22.65,0.27,0.97,0.87,0.27054423060282445,3.62,10.92,50.73,191.1,0.05369250822265039,1.6369893410540708,2.1023318109485625,0.3333333333333333,0.5,32,ABMM,0.5232862375719518,0,,0.22649999999999998,0.0027,0.5073,1.911,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2014,0,20.12,-15.98,0.98,0.9,0.35834064871953825,4.03,17.04,57.31,318.95,0.002393795361999643,1.3486609927614646,3.315286803288524,0.5,0.0,34,ABMM,0.31352876626430476,0,0.0,0.20120000000000002,-0.1598,0.5731,3.1895,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2015,0,19.37,-6.93,0.88,0.83,0.3633372567262263,4.27,21.61,50.57,346.7,0.0037334769650531697,1.2749799066277396,3.3384191080153767,0.0,0.0,36,ABMM,0.2884338044418806,0,0.0,0.1937,-0.0693,0.5057,3.467,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2016,0,21.6,1.17,0.79,0.72,0.24610215396135166,3.91,19.74,49.34,332.6,0.045724792087722,1.2953153232102224,2.6060313503553236,0.6666666666666666,0.5,37,ABMM,0.30066145520144316,0,0.0,0.21600000000000003,0.011699999999999999,0.49340000000000006,3.326,0,0,0,0,0,0,0,0,0,0,0,0,0
